Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bahrain,BHR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36997.7356,39769.31181,40971.7265,44690.41482,43113.48124,43369.15357,43737.18814,43716.02075,44458.43837,45053.74612,46154.02954,46084.92721,46478.20542,47504.55731,47455.23999,46821.02463,46303.48701,46792.17426,46588.6421,44972.74558,45600.06624,46564.71088,47793.53097,48915.52994,49117.98845,48453.72585,48486.30275,48929.44701,48937.66036,49768.97621,47994.41429,49754.04774,51854.71637,
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36161.11013,33973.7946,31988.68848,31397.78198,31743.91319,32519.23635,33294.83102,33154.0806,34142.5222,36024.98766,36972.04107,37412.04763,37920.60639,36944.51716,36770.90649,37504.26422,37918.24726,37928.62343,36523.54102,34498.16345,34539.58237,34321.24091,34999.8274,33681.55801,33996.82628,34023.71943,33484.53334,34067.84618,34810.2775,34324.99667,26132.20752,30463.08334,34663.49645,
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730.12127,2096.56369,3802.226547,4933.066651,5609.345692,6091.656831,6825.998907,6965.444754,7309.568271,7618.830135,8180.70937,8600.340183,9146.860056,9803.905238,10506.65826,10363.50198,10636.05902,10933.03283,11046.11749,11483.24507,11766.9676,12437.48513,13000.60634,13582.1737,14267.5082,14851.6365,14587.46986,15893.04717,16737.11106,
Belarus,BLR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8895.172171,8784.376835,7923.649887,7305.306473,6458.214178,5805.362811,5988.039352,6698.457482,7293.907779,7575.917878,8053.173155,8477.083508,8961.64059,9660.193113,10839.95562,11940.18589,13214.87078,14417.35267,15942.89673,16014.11457,17300.70265,18274.01963,18611.45311,18805.42974,19119.31214,18362.69525,17883.19032,18356.06606,18974.74522,19288.04069,19239.55314,19872.6925,19092.11117,
Belize,BLZ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6292.179257,6887.227525,7607.84637,7913.541541,7742.927143,7602.623913,7456.46678,7511.722026,7533.846076,7966.565382,8656.330389,8806.73721,8996.232655,9566.36369,9724.235058,9647.656308,9791.170185,9826.604288,9406.425319,9110.684334,8996.430179,8767.314915,8885.545298,9074.462588,9233.085116,9331.312663,9141.245412,8798.699057,8719.990849,8925.190308,7586.023644,8826.859802,9473.705619,
Bermuda,BMU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65961.40628,63958.89625,64385.40741,65967.85001,65904.72042,68313.38185,69643.40752,72403.88044,74677.09242,76772.32385,83181.52634,88231.78386,86364.15374,88727.31127,90195.81156,91114.07699,95615.3607,98257.9927,95855.80069,89961.98274,88399.91595,85829.37826,80982.36776,80503.65029,77361.10488,77842.7539,78149.35254,81834.95587,81423.40845,81681.72667,76117.80474,78570.48951,81165.65094,
Bolivia,BOL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437.866831,4575.706751,4556.993454,4657.030399,4779.839228,4909.178259,5028.444098,5181.416504,5343.957412,5270.027543,5305.619261,5300.314339,5337.765853,5387.581774,5515.655819,5660.57482,5829.371333,5989.689927,6248.933958,6349.007914,6499.818158,6724.300673,6952.738376,7305.227988,7581.598428,7825.766748,8034.172725,8244.933446,8466.2932,8528.748804,7679.933194,8052.600026,8244.235658,
Brazil,BRA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401.84244,10328.95712,10103.78794,10431.40966,10867.75092,11151.19164,11224.39946,11432.65057,11304.097,11196.83853,11529.48662,11536.36383,11739.43184,11733.4112,12268.66383,12520.85499,12877.44418,13518.84778,14067.94581,13916.96323,14824.74115,15271.46935,15425.35293,15751.48445,15695.6431,15011.57719,14402.49401,14477.86177,14619.59113,14685.12789,14109.76397,14735.58178,15093.46512,
Barbados,BRB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14086.43109,13509.20624,12700.53361,12762.85297,12983.8173,13215.46786,13715.35669,14341.95676,14853.10484,14873.02512,15505.87152,15098.0115,15155.33033,15424.59636,15583.72308,16141.69698,17057.54024,17346.82988,17383.74133,16438.68397,16011.36433,15846.86826,15757.74859,15515.49741,15480.20907,15822.09959,16190.2363,16233.79215,16063.45373,16077.51476,14003.92203,13869.24226,15417.29644,
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70358.72409,70439.0532,71781.1029,70154.42473,70570.96451,71966.09741,72320.98798,69660.18601,67770.17249,68366.66318,68865.7873,69338.92072,70631.87368,71331.75273,70415.42415,69482.3838,71352.88579,70342.4093,67934.06408,65753.4057,66484.24154,68037.52298,67792.75463,65534.68316,63131.18625,62170.08702,59980.98875,60173.05113,59650.23153,61424.36431,61603.5508,60127.02361,58669.90069,
Bhutan,BTN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895.534888,2836.647218,3085.454598,3298.42577,3458.944892,3659.573241,3791.661754,3926.954599,4082.468358,4301.503709,4323.041037,4559.52389,4931.4401,5186.712446,5368.402312,5643.849869,5949.773196,6955.891702,7203.886097,7602.500151,8416.136592,8988.400048,9346.083142,9442.81607,9886.980598,10445.57585,11196.77034,11619.06451,11931.66317,12530.17115,11176.29042,11595.68311,,
Botswana,BWA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9164.756975,9569.340244,9570.428758,9476.541722,9550.710835,9956.683278,10280.49752,10880.716,10689.08256,11473.92062,11461.9352,11262.75746,11725.41237,12054.723,12166.31425,12494.05994,13287.05854,13783.20632,13945.42347,11729.41791,12653.21175,13250.08473,12975.78491,14144.34048,14664.78469,13682.19978,14373.33874,14656.77299,14961.83117,15117.68432,13545.04742,14906.89784,15518.65105,
Central African Republic,CAF,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.61339,1157.381663,1049.119415,1019.441006,1036.283901,1080.770061,1010.743889,1035.107458,1054.312973,1062.298258,1007.247834,1028.791408,1042.708645,962.8648368,998.6890997,985.324816,1011.77751,1038.750133,1038.335286,1103.463766,1130.895708,1160.414741,1208.51577,764.0515002,765.259554,795.0370187,818.3959953,839.6000095,854.6474913,861.7667888,847.7650124,838.1929502,823.9821853,
Canada,CAN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34544.6255,33404.54922,33305.43475,33816.92154,34951.75465,35519.819,35744.13762,36905.45567,38025.25491,39656.47621,41307.75146,41627.62495,42412.41396,42791.09468,43704.66913,44683.76498,45401.46586,45884.38253,45841.9947,44000.40392,44858.819,45815.53037,46116.42737,46693.03935,47554.25627,47507.45184,47460.36983,48317.17458,48946.24734,49169.12237,46193.17415,48356.33232,49296.37921,
Central Europe and the Baltics,CEB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13981.9488,12634.29469,12376.48904,12572.20878,13084.29642,13847.46177,14507.00096,14790.7199,15193.8245,15482.01177,16182.80589,16810.05625,17543.10788,18305.58453,19458.4224,20482.29898,21890.31308,23379.43844,24445.85026,23663.05077,24037.65052,24958.66675,25237.88553,25457.6071,26339.43657,27454.05505,28285.1949,29831.62986,31383.74305,32665.34731,31622.64419,33926.87398,35819.5639,
Switzerland,CHE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56232.02608,55025.01131,54397.88076,53836.80885,54087.51955,53985.64531,54001.05315,55089.32729,56590.11738,57257.31822,59190.41534,59743.81593,59250.16447,58793.1483,59967.91304,61223.39324,63318.79489,65213.18054,66197.86747,63873.95237,65262.34098,65710.91507,65783.58911,66196.94731,66930.86863,67261.59401,67907.39388,68193.50549,69629.33661,69923.93121,67928.19151,71044.86744,72278.20726,
Channel Islands,CHI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9701.823815,10290.03969,11256.20951,11812.64941,12221.50773,13122.94638,13825.15623,14652.77523,15074.58015,14855.35722,15415.75432,15725.6012,16053.65465,16636.65379,17571.02484,18415.75504,19339.48767,20140.5297,20695.56261,20255.09884,21225.10391,22323.72314,23467.97879,24011.59107,24197.18334,24464.74572,24599.37469,24546.91248,25071.99013,24809.86104,22970.55049,25412.75214,25886.12142,
China,CHN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423.896348,1534.705272,1731.657216,1949.534268,2178.924057,2391.477116,2601.363426,2812.711135,3004.427341,3206.730026,3451.679231,3712.338132,4024.355697,4400.825183,4817.211845,5334.646639,5979.781712,6795.174012,7412.874364,8069.354638,8884.588031,9680.0977,10370.72657,11101.93893,11851.40422,12612.35165,13399.13732,14243.53261,15133.99562,15977.76383,16296.60938,17657.65656,18187.84112,
Cote d'Ivoire,CIV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4351.476782,4191.811913,4028.787996,3876.655889,3770.539306,3898.70676,4055.080381,4294.273473,4329.570071,4249.617975,4123.841569,3930.707787,3728.587439,3467.56166,3495.340422,3451.010241,3470.633522,3433.851206,3522.234003,3572.6816,3737.400732,3464.047037,3652.176767,3962.604598,4234.790413,4423.826797,4620.349156,4836.048367,4941.793811,5132.341569,5092.163471,5316.463901,5537.369758,
Cameroon,CMR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3483.186862,3251.755036,3059.792361,2736.282614,2709.080045,2710.938075,2749.520034,2798.577358,2854.370093,2905.131157,2937.991873,2985.577906,3036.767702,3116.15282,3245.495893,3228.361161,3261.451656,3309.282295,3308.319908,3298.407452,3298.624579,3314.898234,3371.975533,3442.200627,3530.283191,3614.755716,3667.322675,3691.094724,3732.501248,3756.509562,3665.510581,3689.358981,3723.532337,
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.169739,1550.763705,1346.747222,1128.593145,1034.123387,998.6883138,969.8086629,900.9677964,865.606612,805.2778814,728.2071969,691.7091451,690.6596075,708.0287711,733.541897,754.6644432,769.8871446,792.1908849,815.011857,811.9273452,841.8562871,870.0738055,900.9789904,944.6402474,999.0721335,1032.571865,1021.327198,1023.539833,1048.246447,1059.892111,1044.071214,1073.643271,1132.65423,
"Congo, Rep.",COG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5080.051889,5059.132338,5050.662709,4860.043881,4463.931763,4518.118106,4587.69183,4466.354244,4535.280056,4301.745391,4454.337154,4453.110243,4549.415954,4461.202956,4462.088859,4638.199628,4824.098294,4342.193167,4465.59988,4788.979954,5050.279499,4996.919313,5343.554914,5179.323789,5393.081825,5287.66248,4714.438548,4345.519123,4144.949308,4093.990622,3748.932613,3700.270102,3670.199622,
Colombia,COL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8434.956967,8430.220621,8598.989606,8885.18435,9220.499404,9518.257468,9538.269872,9691.025602,9578.653321,9023.618699,9138.316348,9146.402283,9232.624802,9453.325901,9816.274831,10150.70507,10692.72465,11272.57481,11507.52259,11507.71388,11890.19974,12578.01209,12934.96212,13465.07126,13938.2276,14215.68426,14358.16419,14334.91058,14426.43033,14616.13102,13358.29433,14661.20913,15616.74783,
Comoros,COM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2922.712252,2695.256074,2856.008564,2876.283755,2666.045372,2703.584351,2611.821747,2659.273978,2636.344308,2633.565756,2863.15185,2871.196853,2878.534359,2881.960707,2881.566744,2905.689183,2923.532301,2888.446634,2942.990846,2976.779454,3025.517384,3084.826585,3115.238033,3185.319697,3183.157031,3150.877624,3185.629664,3240.17917,3294.831972,3290.650527,3222.374089,3228.526858,3245.768697,
Cabo Verde,CPV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816.024743,1801.217693,1949.960948,2066.730606,2402.434728,2678.982292,2914.757833,3166.280533,3485.244683,3795.228889,4255.745697,4278.757832,4434.218352,4553.415327,4950.763113,5225.921711,5574.632262,6345.941443,6718.05638,6549.005428,6597.949384,6774.893742,6766.942931,6733.088796,6703.812356,6691.931432,6900.561009,7130.854152,7314.301283,7743.479164,6073.380353,6356.745034,7379.247565,
Costa Rica,CRI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9810.550789,9781.459414,10416.1083,10882.04858,11100.70843,11290.95899,11182.47876,11532.46211,12092.47517,12343.7102,12570.69542,12771.9501,12986,13333.21655,13713.00763,14049.90866,14864.78064,15861.87374,16385.00014,16024.02922,16667.01564,17186.44754,17809.93962,18044.94405,18480.65078,18956.19093,19553.59783,20168.21942,20503.27572,20818.06058,19778.38549,21220.16059,22070.91981,
